CODICE,DESCRIZIONE
A15.1,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, CONFERMATA DAL SOLO ESAME COLTURALE"
A15.2,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, CONFERMATA ISTOLOGICAMENTE"
A15.3,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, CONFERMATA CON METODI NON SPECIFICATI"
A15.4,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEI LINFONODI INTRATORACICI, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE"
A15.5,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DELLA LARINGE, TRACHEA E BRONCHI, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE"
A15.6,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - PLEURITE TUBERCOLARE, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE"
A15.7,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI RESPIRATORIA PRIMARIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE"
A15.8,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - ALTRE FORME DI TUBERCOLOSI RESPIRATORIA, CONFERMATE BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE"
A15.9,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI RESPIRATORIA NON SPECIFICATA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE"
A16.0,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE NEGATIVA"
A16.1,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, ESAME BATTERIOLOGICO ED ISTOLOGICO NON EFFETTUATI"
A16.2,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A16.3,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEI LINFONODI INTRATORACICI, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A16.4,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DELLA LARINGE, TRACHEA E BRONCHI, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A16.5,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - PLEURITE TUBERCOLARE, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A16.7,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI RESPIRATORIA PRIMARIA, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A16.8,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - ALTRE FORME DI TUBERCOLOSI RESPIRATORIA, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A16.9,"TUBERCOLOSI RESPIRATORIA, NON CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI RESPIRATORIA NON SPECIFICATA, SENZA MENZIONE DI CONFERMA BATTERIOLOGICA O ISTOLOGICA"
A17.0,TUBERCOLOSI DEL SISTEMA NERVOSO - MENINGITE TUBERCOLARE (G01*)
A17.1,TUBERCOLOSI DEL SISTEMA NERVOSO - TUBERCOLOMA MENINGEO (G07*)
A17.8,TUBERCOLOSI DEL SISTEMA NERVOSO - ALTRE FORME DI TUBERCOLOSI DEL SISTEMA NERVOSO
A17.9,TUBERCOLOSI DEL SISTEMA NERVOSO - TUBERCOLOSI DEL SISTEMA NERVOSO NON SPECIFICATA (G99 8*)
A18.0,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELLE OSSA E DELLE ARTICOLAZIONI
A18.1,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELL'APPARATO GENITOURINARIO
A18.2,TUBERCOLOSI DI ALTRI ORGANI - LINFADENOPATIA PERIFERICA TUBERCOLARE
A18.3,"TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELL'INTESTINO, DEL PERITONEO E DEI LINFONODI MESENTERICI"
A18.4,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELLA CUTE E DEL TESSUTO SOTTOCUTANEO
A18.5,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELL'OCCHIO
A18.6,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELL'ORECCHIO
A18.7,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DELLE GHIANDOLE SURRENALI (E35 1*)
A18.8,TUBERCOLOSI DI ALTRI ORGANI - TUBERCOLOSI DI ALTRI ORGANI SPECIFICATI
A19.0,TUBERCOLOSI MILIARE - TUBERCOLOSI MILIARE ACUTA LIMITATA AD UNA SINGOLA SEDE SPECIFICATA
A19.1,TUBERCOLOSI MILIARE - TUBERCOLOSI MILIARE ACUTA INTERESSANTE SEDI MULTIPLE
A19.2,TUBERCOLOSI MILIARE - TUBERCOLOSI MILIARE ACUTA NON SPECIFICATA
A19.8,TUBERCOLOSI MILIARE - ALTRE TUBERCOLOSI MILIARI
A19.9,TUBERCOLOSI MILIARE - TUBERCOLOSI MILIARE NON SPECIFICATA
A20.0,PESTE - PESTE BUBBONICA
A20.1,PESTE - PESTE CELLULOCUTANEA
A20.2,PESTE - PESTE POLMONARE
A20.3,PESTE - MENINGITE PESTOSA
A20.7,PESTE - PESTE SETTICEMICA
A20.8,PESTE - ALTRE FORME DI PESTE
A20.9,PESTE - PESTE NON SPECIFICATA
A21.0,TULAREMIA - TULAREMIA ULCEROGHIANDOLARE
A21.1,TULAREMIA - TULAREMIA OCULOGHIANDOLARE
A21.2,TULAREMIA - TULAREMIA POLMONARE
A21.3,TULAREMIA - TULAREMIA GASTROINTESTINALE
A21.7,TULAREMIA - TULAREMIA GENERALIZZATA
A21.8,TULAREMIA - ALTRE FORME DI TULAREMIA
A21.9,TULAREMIA - TULAREMIA NON SPECIFICATA
A22.0,CARBONCHIO - CARBONCHIO CUTANEO
A22.1,CARBONCHIO - CARBONCHIO POLMONARE
A22.2,CARBONCHIO - CARBONCHIO GASTROINTESTINALE
A22.7,CARBONCHIO - SEPSI CARBONCHIOSA
A22.8,CARBONCHIO - ALTRE FORME DI CARBONCHIO
A22.9,CARBONCHIO - CARBONCHIO NON SPECIFICATO
A23.0,BRUCELLOSI - BRUCELLOSI DA BRUCELLA MELITENSIS
A23.1,BRUCELLOSI - BRUCELLOSI DA BRUCELLA ABORTUS
A23.2,BRUCELLOSI - BRUCELLOSI DA BRUCELLA SUIS
A23.3,BRUCELLOSI - BRUCELLOSI DA BRUCELLA CANIS
A23.8,BRUCELLOSI - ALTRE BRUCELLOSI
A23.9,BRUCELLOSI - BRUCELLOSI NON SPECIFICATA
A24.0,MORVA E MELIOIDOSI - MORVA
A24.1,MORVA E MELIOIDOSI - MELIOIDOSI ACUTA E FULMINANTE
A24.2,MORVA E MELIOIDOSI - MELIOIDOSI SUBACUTA E CRONICA
A24.3,MORVA E MELIOIDOSI - ALTRE FORME DI MELIOIDOSI
A24.4,MORVA E MELIOIDOSI - MELIOIDOSI NON SPECIFICATA
A25.0,FEBBRI DA MORSO DI RATTO - FEBBRE SPIRILLARE
A25.1,FEBBRI DA MORSO DI RATTO - FEBBRE STREPTOBACILLARE
A25.9,FEBBRI DA MORSO DI RATTO - FEBBRE DA MORSO DI RATTO NON SPECIFICATA
A26.0,ERISIPELOIDE - ERISIPELOIDE CUTANEO
A26.7,ERISIPELOIDE - SEPSI DA ERISIPELOTHRIX
A26.8,ERISIPELOIDE - ALTRE FORME DI ERISIPELOIDE
A26.9,ERISIPELOIDE - ERISIPELOIDE NON SPECIFICATO
A27.0,LEPTOSPIROSI - LEPTOSPIROSI ITTEROEMORRAGICA
A27.8,LEPTOSPIROSI - ALTRE FORME DI LEPTOSPIROSI
A27.9,LEPTOSPIROSI - LEPTOSPIROSI NON SPECIFICATA
A28.0,"ALTRE SPECIFICATE MALATTIE BATTERICHE TRASMESSE DA ANIMALI, NON CLASSIFICATE ALTROVE - PASTEURELLOSI"
A28.1,"ALTRE SPECIFICATE MALATTIE BATTERICHE TRASMESSE DA ANIMALI, NON CLASSIFICATE ALTROVE - MALATTIA DA GRAFFIO DI GATTO"
A28.2,"ALTRE SPECIFICATE MALATTIE BATTERICHE TRASMESSE DA ANIMALI, NON CLASSIFICATE ALTROVE - YERSINIOSI EXTRAINTESTINALE"
A28.8,"ALTRE SPECIFICATE MALATTIE BATTERICHE TRASMESSE DA ANIMALI, NON CLASSIFICATE ALTROVE - ALTRE MALATTIE BATTERICHE TRASMESSE DA ANIMALI SPECIFICATE, NON CLASSIFICATE ALTROVE"
A28.9,"ALTRE SPECIFICATE MALATTIE BATTERICHE TRASMESSE DA ANIMALI, NON CLASSIFICATE ALTROVE - MALATTIA BATTERICA TRASMESSA DA ANIMALI NON SPECIFICATA"
A30.0,LEBBRA (MALATTIA DI HANSEN) - LEBBRA INDETERMINATA
A30.1,LEBBRA (MALATTIA DI HANSEN) - LEBBRA TUBERCOLOIDE
A30.2,LEBBRA (MALATTIA DI HANSEN) - LEBBRA TUBERCOLOIDE BORDERLINE
A30.3,LEBBRA (MALATTIA DI HANSEN) - LEBBRA BORDERLINE
A30.4,LEBBRA (MALATTIA DI HANSEN) - LEBBRA LEPROMATOSA BORDERLINE
A30.5,LEBBRA (MALATTIA DI HANSEN) - LEBBRA LEPROMATOSA
A30.8,LEBBRA (MALATTIA DI HANSEN) - ALTRE FORME DI LEBBRA
A30.9,LEBBRA (MALATTIA DI HANSEN) - LEBBRA NON SPECIFICATA
A31.0,INFEZIONE DA ALTRI MICOBATTERI - INFEZIONE POLMONARE MICOBATTERICA
A31.1,INFEZIONE DA ALTRI MICOBATTERI - INFEZIONE MICOBATTERICA CUTANEA
A31.8,INFEZIONE DA ALTRI MICOBATTERI - ALTRE INFEZIONI MICOBATTERICHE
A31.9,INFEZIONE DA ALTRI MICOBATTERI - INFEZIONE MICOBATTERICA NON SPECIFICATA
A32.0,LISTERIOSI - LISTERIOSI CUTANEA
A32.1,LISTERIOSI - MENINGITE E MENINGOENCEFALITE DA LISTERIA
A32.7,LISTERIOSI - SEPSI DA LISTERIA
A32.8,LISTERIOSI - ALTRE FORME DI LISTERIOSI
A32.9,LISTERIOSI - LISTERIOSI NON SPECIFICATA
A33,TETANO DEL NEONATO
A34,TETANO OSTETRICO
A35,ALTRE FORME DI TETANO
A36.0,DIFTERITE - DIFTERITE FARINGEA
A36.1,DIFTERITE - DIFTERITE RINOFARINGEA
A36.2,DIFTERITE - DIFTERITE LARINGEA
A36.3,DIFTERITE - DIFTERITE CUTANEA
A36.8,DIFTERITE - ALTRE FORME DI DIFTERITE
A36.9,DIFTERITE - DIFTERITE NON SPECIFICATA
A37.0,PERTOSSE - PERTOSSE DA BORDETELLA PERTUSSIS
A37.1,PERTOSSE - PERTOSSE DA BORDETELLA PARAPERTUSSIS
A37.8,PERTOSSE - PERTOSSE DA ALTRE SPECIE DI BORDETELLA
A37.9,PERTOSSE - PERTOSSE NON SPECIFICATA
A38,SCARLATTINA
A39.0,INFEZIONE MENINGOCOCCICA - MENINGITE MENINGOCOCCICA (G01*)
A39.1,INFEZIONE MENINGOCOCCICA - SINDROME DI WATERHOUSE FRIDERICHSEN (E35 1*)
A39.2,INFEZIONE MENINGOCOCCICA - MENINGOCOCCEMIA ACUTA
A39.3,INFEZIONE MENINGOCOCCICA - MENINGOCOCCEMIA CRONICA
A39.4,INFEZIONE MENINGOCOCCICA - MENINGOCOCCEMIA  NON SPECIFICATA
A39.5,INFEZIONE MENINGOCOCCICA - CARDIOPATIA MENINGOCOCCICA
A39.8,INFEZIONE MENINGOCOCCICA - ALTRE INFEZIONI MENINGOCOCCICHE
A39.9,INFEZIONE MENINGOCOCCICA - INFEZIONE MENINGOCOCCICA  NON SPECIFICATA
A40.0,"SEPSI STREPTOCOCCICA - SEPSI DA STREPTOCOCCO, GRUPPO A"
A40.1,"SEPSI STREPTOCOCCICA - SEPSI DA STREPTOCOCCO, GRUPPO B"
A40.2,"SEPSI STREPTOCOCCICA - SEPSI DA STREPTOCOCCO, GRUPPO D"
A40.3,SEPSI STREPTOCOCCICA - SEPSI DA STREPTOCOCCUS PNEUMONIAE
A40.8,SEPSI STREPTOCOCCICA - ALTRE FORME DI SEPSI STREPTOCOCCICA
A40.9,SEPSI STREPTOCOCCICA - SEPSI STREPTOCOCCICA NON SPECIFICATA
A41.0,ALTRE FORME DI SEPSI - SEPSI DA STAFILOCOCCO AUREO
A41.1,ALTRE FORME DI SEPSI - SEPSI DA ALTRO STAFILOCOCCO SPECIFICATO
A41.2,ALTRE FORME DI SEPSI - SEPSI DA STAFILOCOCCO NON SPECIFICATO
A41.3,ALTRE FORME DI SEPSI - SEPSI DA HEAMOPHILUS INFLUENZAE
A41.4,ALTRE FORME DI SEPSI - SEPSI DA ANAEROBI
A41.5,ALTRE FORME DI SEPSI - SEPSI DA ALTRI MICROORGANISMI GRAM-NEGATIVI
A41.8,ALTRE FORME DI SEPSI - ALTRE FORME DI SEPSI SPECIFICATA
A41.9,ALTRE FORME DI SEPSI - SEPSI NON SPECIFICATA
A42.0,ACTINOMICOSI - ACTINOMICOSI POLMONARE
A42.1,ACTINOMICOSI - ACTINOMICOSI ADDOMINALE
A42.2,ACTINOMICOSI - ACTINOMICOSI CERVICOFACCIALE
A42.7,ACTINOMICOSI - SEPSI ACTINOMICOTICA
A42.8,ACTINOMICOSI - ALTRE FORME DI ACTINOMICOSI
A42.9,ACTINOMICOSI - ACTINOMICOSI NON SPECIFICATA
A43.0,NOCARDIOSI - NOCARDIOSI POLMONARE
A43.1,NOCARDIOSI - NOCARDIOSI CUTANEA
A43.8,NOCARDIOSI - ALTRE FORME DI NOCARDIOSI
A43.9,NOCARDIOSI - NOCARDIOSI NON SPECIFICATA
A44.0,BARTONELLOSI - BARTONELLOSI SISTEMICA
A44.1,BARTONELLOSI - BARTONELLOSI CUTANEA E MUCOCUTANEA
A44.8,BARTONELLOSI - ALTRE FORME DI BARTONELLOSI
A44.9,BARTONELLOSI - BARTONELLOSI NON SPECIFICATA
A46,ERISIPELA
A48.0,ALTRE MALATTIE BATTERICHE NON CLASSIFICATE ALTROVE - GANGRENA GASSOSA
A48.1,ALTRE MALATTIE BATTERICHE NON CLASSIFICATE ALTROVE - MALATTIA DEI LEGIONARI
A48.2,ALTRE MALATTIE BATTERICHE NON CLASSIFICATE ALTROVE - MALATTIA DEI LEGIONARI NON POLMONARE (FEBBRE DI PONTIAC)
A48.3,ALTRE MALATTIE BATTERICHE NON CLASSIFICATE ALTROVE - SINDROME DA SHOCK TOSSICO
A48.4,ALTRE MALATTIE BATTERICHE NON CLASSIFICATE ALTROVE - FEBBRE PURPURICA BRASILIANA
A48.8,ALTRE MALATTIE BATTERICHE NON CLASSIFICATE ALTROVE - ALTRE MALATTIE BATTERICHE SPECIFICATE
A49.0,INFEZIONE BATTERICA DI SEDE NON SPECIFICATA - INFEZIONE STAFILOCOCCICA DI SEDE NON SPECIFICATA
A49.1,INFEZIONE BATTERICA DI SEDE NON SPECIFICATA - INFEZIONE STREPTOCOCCICA ED ENTEROCOCCICA NON SPECIFICATA
A49.2,INFEZIONE BATTERICA DI SEDE NON SPECIFICATA - INFEZIONE DA HAEMOPHILUS INFLUENZAE DI SEDE NON SPECIFICATA
A49.3,INFEZIONE BATTERICA DI SEDE NON SPECIFICATA - INFEZIONE DA MYCOPLASMA DI SEDE NON SPECIFICATA
A49.8,INFEZIONE BATTERICA DI SEDE NON SPECIFICATA - ALTRE INFEZIONI BATTERICHE DI SEDE NON SPECIFICATA
A49.9,INFEZIONE BATTERICA DI SEDE NON SPECIFICATA - INFEZIONE BATTERICA NON SPECIFICATA
A50.0,SIFILIDE CONGENITA - SIFILIDE CONGENITA PRECOCE SINTOMATICA
A50.1,"SIFILIDE CONGENITA - SIFILIDE CONGENITA PRECOCE, LATENTE"
A50.2,SIFILIDE CONGENITA - SIFILIDE CONGENITA PRECOCE NON SPECIFICATA
A50.3,SIFILIDE CONGENITA - OFTALMOPATIA SIFILITICA CONGENITA TARDIVA
A50.4,SIFILIDE CONGENITA - NEUROSIFILIDE CONGENITA TARDIVA (NEUROSIFILIDE GIOVANILE)
A50.5,SIFILIDE CONGENITA - ALTRE FORME DI SIFILIDE CONGENITA TARDIVA SINTOMATICA
A50.6,"SIFILIDE CONGENITA - SIFILIDE CONGENITA TARDIVA, LATENTE"
A50.7,SIFILIDE CONGENITA - SIFILIDE CONGENITA TARDIVA NON SPECIFICATA
A50.9,SIFILIDE CONGENITA - SIFILIDE CONGENITA NON SPECIFICATA
A51.0,SIFILIDE PRECOCE - SIFILIDE GENITALE PRIMARIA
A51.1,SIFILIDE PRECOCE - SIFILIDE ANALE PRIMARIA
A51.2,SIFILIDE PRECOCE - SIFILIDE PRIMARIA DI ALTRE SEDI
A51.3,SIFILIDE PRECOCE - SIFILIDE SECONDARIA DELLA CUTE E DELLE MUCOSE
A51.4,SIFILIDE PRECOCE - ALTRE FORME DI SIFILIDE SECONDARIA
A51.5,"SIFILIDE PRECOCE - SIFILIDE PRECOCE, LATENTE"
A51.9,SIFILIDE PRECOCE - SIFILIDE PRECOCE NON SPECIFICATA
A52.0,SIFILIDE TARDIVA - SIFILIDE CARDIOVASCOLARE
A52.1,SIFILIDE TARDIVA - NEUROSIFILIDE SINTOMATICA
A52.2,SIFILIDE TARDIVA - NEUROSIFILIDE ASINTOMATICA
A52.3,SIFILIDE TARDIVA - NEUROSIFILIDE NON SPECIFICATA
A52.7,SIFILIDE TARDIVA - ALTRE FORME DI SIFILIDE TARDIVA SINTOMATICA
A52.8,SIFILIDE TARDIVA - SIFILIDE TARDIVA LATENTE
A52.9,SIFILIDE TARDIVA - SIFILIDE TARDIVA NON SPECIFICATA
A53.0,"ALTRE E NON SPECIFICATE FORME DI SIFILIDE - SIFILIDE LATENTE, NON SPECIFICATA COME PRECOCE O TARDIVA"
A53.9,ALTRE E NON SPECIFICATE FORME DI SIFILIDE - SIFILIDE NON SPECIFICATA
A54.0,INFEZIONE GONOCOCCICA - INFEZIONE GONOCOCCICA DEL TRATTO GENITOURINARIO INFERIORE SENZA ASCESSO PERIURETRALE O DELLE GHIANDOLE ACCESSORIE
A54.1,INFEZIONE GONOCOCCICA - INFEZIONE GONOCOCCICA DEL TRATTO GENITOURINARIO INFERIORE CON ASCESSO PERIURETRALE E DELLE GHIANDOLE ACCESSORIE
A54.2,INFEZIONE GONOCOCCICA - PELVIPERITONITE GONOCOCCICA E ALTRE FORME DI INFEZIONE GONOCOCCICA GENITOURINARIA
A54.3,INFEZIONE GONOCOCCICA - INFEZIONE OCULARE GONOCOCCICA
A54.4,INFEZIONE GONOCOCCICA - INFEZIONE GONOCOCCICA DEL SISTEMA OSTEOMUSCOLARE
A54.5,INFEZIONE GONOCOCCICA - FARINGITE GONOCOCCICA
A54.6,INFEZIONE GONOCOCCICA - INFEZIONE GONOCOCCICA DELL'ANO E DEL RETTO
A54.8,INFEZIONE GONOCOCCICA - ALTRE INFEZIONI GONOCOCCICHE
A54.9,INFEZIONE GONOCOCCICA - INFEZIONE GONOCOCCICA NON SPECIFICATA
